[0:29:13] belobelodaaaaaaa: crかっぷげきあつだえ
[0:29:23] ことみょん: 9時前ギリに来そうだえ
[0:29:27] shun0628ns: けんくん体調良くなったんやねよかった！
[0:29:33] ぜうすさぶお: 忘れてないといいけど
[0:29:36] sakuto3399: ヒーローは遅れてくるえ
[0:29:37] sakana_tkg: 3日も配信ない（ ;  ; ）
[0:29:40] こんぺんた: 葉が抗争したいって言ってたからくるやろさすがにｗｗ
[0:29:45] OHKIKOKO: 忘れてそう
[0:29:57] ぱるぱるるん: あいつはわすれてるえ
[0:29:58] ぜうすさぶお: 葉がやるって言ったからなw
[0:29:58] グリーンモンスター: あのOPはマジで頭に残る
[0:30:01] 417かちゃ: 風邪流行ってるしね
[0:30:04] setunry: でも結構rustやってたよね?w
[0:30:06] yamattttttttt: でも昨日、、、
[0:30:08] tooi9215: 昨日のrustも声だけですもんね
[0:30:13] 半熟めんま: よくなってよかったよ
[0:30:17] 豚野郎1227: 結局ね
[0:30:17] atsumori_pop: メインで見てた配信無くなると虚無感エグいえ
[0:30:19] おと中野: たまには休みが必要だえー
[0:30:21] randall7950: それぐらい辛かったのに3日で済んだんだね
[0:30:33] 半熟めんま: ちゃんとビタミンとってね
[0:30:33] ぜうすさぶお: わざとこわすなｗｗｗ
[0:30:39] かぷちーのさん: www
[0:30:41] ぶたぁー: ｗｗｗｗｗ
[0:30:41] ソルティー_: おいw
[0:30:42] 職人: 壊してっと
[0:30:44] mocasann: ヨシ！
[0:30:46] kajokajoka: ww
[0:30:47] KABAYAKIGG: www
[0:30:49] ぜうすさぶお: ｗｗｗｗｗｗｗ
[0:30:50] tisukun: www
[0:30:52] lllogout: 何度まであがったのかな
[0:30:55] hinn_h: おかしくなったかと思ったぜｗ
[0:31:08] ナマコ魚雷: w
[0:31:29] kajokajoka: wwwww
[0:32:10] 海猫だおーん: wwww
[0:32:11] atsumori_pop: かわいい
[0:32:11] フンバルト_ヘーデル: ぶはははは
[0:32:11] レヴィ99: 🐬
[0:32:12] ぜうすさぶお: かわいいなぁ
[0:32:20] しろしろくんどっと: 🐬
[0:32:32] atsumori_pop: 🐬
[0:32:34] 豚野郎1227: 🐬
[0:33:23] ぜうすさぶお: いま揚げころちゃんが助手席に
[0:33:29] sakana_tkg: 今日友達にありけん見せたら（なんやコイツ）だけで終わったw
[0:35:31] 半熟めんま: ママ～
[0:35:43] kajokajoka: www
[0:35:44] ぜうすさぶお: ｗｗｗｗ
[0:35:47] 半熟めんま: ｗｗｗ
[0:35:49] 海猫だおーん: wwww
[0:35:53] ことみょん: wwww
[0:35:55] ぜうすさぶお: かてるか
[0:35:56] iytreszhii: なんで？
[0:36:00] ぜうすさぶお: やば
[0:36:00] ことみょん: 勝ったなこれ
[0:36:03] zlep__: みんなやられてるw
[0:36:03] itoriyo: それは無理するなｗ
[0:36:06] ぜうすさぶお: 無理しすぎｗｗ
[0:36:25] ichisanniiroku: ちゃるレッゴーだえ
[0:36:25] wendo_nex: あーありけんも扁桃腺やったことあるのか
[0:36:38] ソルティー_: www
[0:36:45] ぜうすさぶお: ｗｗｗｗ
[0:36:59] 半熟めんま: ｗｗｗｗｗｗｗｗｗｗ
[0:37:01] ナマコ魚雷: wwwwww
[0:37:01] nemakitemaki: 葉いないの草
[0:37:03] 海猫だおーん: wwwwww
[0:37:04] torinosu_rainy: www
[0:37:04] tokino8044: wwwwww
[0:37:04] kajokajoka: wwwww
[0:37:05] ソルティー_: wwww
[0:37:06] zenith_ar: www
[0:37:06] peto303: www
[0:37:11] atsumori_pop: 絶対言わねえｗｗｗ
[0:37:11] フンバルト_ヘーデル: どすけべ
[0:37:19] ぜうすさぶお: ｗｗｗｗｗｗ
