[0:02:34] SECHZEHN_: สวัสดีครับ rebirthztvLove
[0:02:34] sawut1: LUL LUL
[0:02:34] thanathip1122: ดีครับลุง
[0:02:34] Mackey_black_blue: ดีค้าบบบ
[0:02:36] soi_bad: ดีคับลุง
[0:02:36] mkiomxbv: DMHนํา5555
[0:02:37] sdwxz_: ดีครับ
[0:02:37] purple_moon_iusupczz: สวัสดีครับพี่เอส
[0:02:37] arofatsalae: สวัสดีครับพี่
[0:02:38] duekkdj: !uptime
[0:02:38] khxwklxng: สวัสดีครับพี่เอส
[0:02:39] Nightbot: Stream uptime 2 minutes, 47 seconds
[0:02:39] sadgirl00132: rebirthztvShy rebirthztvShy
[0:02:39] teety55520: หวัดดีงับ
[0:02:39] k_kam1234: ถ้ามีตังค์จะสนับสนุนนะครับลุงงงงง
[0:02:40] chanon_ll: ดีค้าบบบบบบ
[0:02:40] TEETANAGI7: ดีคับอ้าย
[0:02:41] purple_moon_iusupczz: สวัสดีครับทุกคน
[0:02:41] mao9789: ดี
[0:02:42] bass_nb46: ดีค้าบพี่เอส <3
[0:02:42] ohmx112: ดีครับ
[0:02:43] stampxyc: ดีค่าาา
[0:02:44] d_dom999999: ได้รถม้ายยยยย
[0:02:44] soze_9: วันนี้มาไวโว้ยยยย
[0:02:44] suga_68: ดีครับลุงงงงงง
[0:02:44] siwa12: ลุงมาไว555
[0:02:45] sansho_dezen: ดีน้าปปป
[0:02:45] beambux2: ดีคับ
[0:02:45] benz01042547: ดีครับ
[0:02:46] fishojok: ดีค้าบพี่เอส
[0:02:46] mick_pp: ดีคับ
[0:02:46] zjxe9: ดีค้าบบบ
[0:02:46] Yulia_hs: rebirthztvLove
[0:02:46] hades66gamelive: สวัสดีครับ
[0:02:47] zerbomxz: ดีคับบบ
[0:02:47] pau061: ดีคับ
[0:02:48] sitthisak3: ดีค่าบบบ
[0:02:48] poxd_206: ดีค้าบบ
[0:02:48] name_thakaskon: Dคับ
[0:02:48] hysix_x: ดีคับแบบท่าน
[0:02:48] thatchai_17: <3 <3
[0:02:48] Fist_Immortal: KaWutGuys AppaK
[0:02:49] PeeKruBz: ดีค้าบบบ
[0:02:49] kzetton: ดีครับลุง
[0:02:49] peemai_twr: ดีฮ้ะ
[0:02:49] kanmcake: ดีค้าบบบ
[0:02:49] filxropez: @purple_moon_iusupczz  สวัสดีน้าบพี่ซุป
[0:02:50] gamesosadtv: D Cab
[0:02:50] nipon_12: สวัสดีค้าบพี่เอสสส
[0:02:51] folkkk_: @purple_moon_iusupczz ดีฮะ!!!
[0:02:52] icexerxer: สวัสดีท่านผู้เจริญ
[0:02:52] purple_moon_iusupczz: @re_indy_666 ดีจ้าลี
[0:02:52] LARGEBODy_GLHF: ดีคับพี่เอส
[0:02:52] do_zox: ดีครับบ
[0:02:53] arisa_85: สวัสดีค่ะ
[0:02:53] ikrom_1127: ดีครับลุง
[0:02:53] tommy_ssr_: venom_l3 subscribed at Tier 1. They've subscribed for 4 months! ดีครับ
[0:02:53] intrude99: @purple_moon_iusupczz ดีค้าบพี่
[0:02:54] letmebeyourfav: rebirthztvLove
[0:02:54] pain_7530: ดีครับพี่เอส
[0:02:54] MabOnnie: ควรชินเวลาใหม่ใช่ไหม
[0:02:55] bigrocket1107: ดีค้าบบบบ
[0:02:55] oam2871: ดีน้าบบบบ
[0:02:55] looko2448: สวัสดีค่ะพี่เอส
[0:02:56] mickeyqweasd: ดีน้าบบบบบบบบ
[0:02:56] thanachai_420: ดีครับลุง
[0:02:57] atanch135r: ตื่นเต้นๆๆ5555
[0:02:57] artgaming77: สวัดดครับลุง
[0:02:57] masamri: ดีค้าบบบ
[0:02:57] tartar2549999: สวัสดีครับ
[0:02:58] pmixkyq: โย้ว
[0:02:58] suttipong3: ดีครับลุง
[0:02:59] phethahe: ดีน๊าบ
[0:03:00] skytttoo: rebirthztvLove
[0:03:00] tumo007: @purple_moon_iusupczz พี่ซุบหวัดดีน้าบบบ
[0:03:01] anantasit_: สวัสดีครับ
[0:03:02] Methe_Mas: ดีค้าบบบบบบลุงงง
[0:03:02] newday3: ดีน้าบบบบ
[0:03:02] purple_moon_iusupczz: @filxropez ดีน้าบฟิก
[0:03:03] A1AN_ALLEN: mosquito0o0 is gifting 1 Tier 1 Subs to RebirthzTV's community! They've gifted a total of 1 in the channel! 
[0:03:04] thawiruk: หวัดดีครับ SeemsGood
[0:03:04] A1AN_ALLEN: mosquito0o0 gifted a Tier 1 sub to PapaPinn! 
[0:03:04] ninekung_viu: ดีค้าบ
[0:03:05] aongpst: หวัดดีครับลุง
[0:03:05] berbboobae_: ดีฮะะ minoruJoob
[0:03:05] chutimun_34: สาวัดดีน้าบ
[0:03:06] jak0987431: ดีคับลุงงั
[0:03:06] nameovis: nameovis subscribed at Tier 1. They've subscribed for 4 months! ลุ๊ง
[0:03:07] jaylor1470: หวัดดีค้าบ
[0:03:07] sirawat99: ดีครับลุง
[0:03:07] Jinnyyja: rebirthztvPlease
[0:03:08] k_kam1234: หวัดดีค้าบลุง!!!!
[0:03:09] mmxmm_miw: lighting_miw subscribed at Tier 1. They've subscribed for 5 months, currently on a 5 month streak! rebirthztvPlease rebirthztvPlease
[0:03:10] anas_ut: ดีค้ายพี่เอส
[0:03:11] anurak9999: rebirthztvJak rebirthztvJak rebirthztvJak rebirthztvJak
[0:03:11] thatchai07: หวัดดีครับ
[0:03:12] purple_moon_iusupczz: @intrude99 สวัสดีจ้า jackey9Mnheart
[0:03:12] petchsarabui: ดีครับลุง
[0:03:13] chommo1: ดีน้าบ
[0:03:15] domo6699: ดีค้าบ
[0:03:16] nichada3933: หวัดดีงับ
[0:03:17] nattapong2390: สวัสดีครับพี่เอส🙏🖤
[0:03:17] lacazetteburnennime: ดีครับ
[0:03:18] wsn_tumm: สวัสดีงับ
[0:03:19] nuumareemeerug: TwitchVotes
[0:03:19] nounkim: ดีคะบพี่เอส
[0:03:20] anantachaip: ดีงับบ
[0:03:20] monkeyknight20: อาหารลุงจะหมดลิ่ว
[0:03:20] narawichhhhh_08: สวัสดีค้าบบพี่เอส สวัสดีนะครับทุกคนน jackey9JackeyDja jackey9Mnheart
[0:03:21] n_newz: n_newz subscribed at Tier 1. They've subscribed for 2 months! 2เดือนแย้ว
[0:03:22] purple_moon_iusupczz: @tumo007 สวัสดีครับ rebirthztvLove
[0:03:22] dewbbro: rebirthztv10 ดีคับ
[0:03:23] imrobotkup: หวัดดีน๊าบ
[0:03:24] pakke11: rebirthztv10 rebirthztv10
[0:03:25] thanaphaz1: ดีค้าบๆๆ
[0:03:27] pang2k: ใบประกันมาสัก 20ใบดิ555555
[0:03:27] xayanan: ดีครับ
[0:03:28] arkham2211: สวัสดีครับลุง
[0:03:29] domo6699: ดีงับบบ
[0:03:29] thiw007x: ดีค้าบ
[0:03:30] wasukitjanoon: rebirthztvNo
[0:03:32] ImyourSmart: DarkKnight
[0:03:32] anan_kill: rebirthztvCritical rebirthztvCritical
[0:03:33] tommy_ssr_: @purple_moon_iusupczz ดีครับพี่ซุฟ rebirthztvLove
[0:03:35] bbluebonnet: สวัสดีคับ
[0:03:35] yeegod8936: ดัคับ
[0:03:37] sawut1: PogChamp PogChamp
[0:03:38] TONKLA_SAENDEE: ดีครับพี่เลิฟ
[0:03:39] alongkorn_gun: สวัสดีคับลุง
[0:03:43] anakone: ดีครับลุง
[0:03:44] jirxwat_: ดีค้าบบ
[0:03:46] rachatt__: rebirthztvHa rebirthztvHa rebirthztvHa
[0:03:46] maxza012: ดีครับบบ
[0:03:46] boonaon2003: พี่เอสสวัสดีค้าบ
[0:03:47] purple_moon_iusupczz: @venom_l3 สวัสดีครับ jackey9JackeyDja
[0:03:48] mindnumber1: ดีครับ
[0:03:49] mikey2049: ดีครับ
[0:03:49] narawichhhhh_08: @purple_moon_iusupczz สวัสดีค้าบบพี่ซุป jackey9JackeyDja jackey9JackeyDja
[0:03:49] yeegod8936: rebirthztvNarukeu
[0:03:50] ZumZamTV: ดีคับ
[0:03:50] skytttoo: rebirthztvLove_HF
[0:03:50] layil_: ดีค้าบบลุง
[0:03:51] chiangkbg3: สวัสดีครับลุง
[0:03:51] muay_owo: KonCha KonCha
[0:03:52] nonsueox: Cheer1สวัสดีครับ
[0:03:53] pimpitcha02: ดีค้าบบบ rebirthztvLove
[0:03:54] deankung123: สวัสดีครับพี่เอส
[0:03:55] piinggg456: ลุุงเติมไปเท่าไหร่เนี่ย
[0:03:55] my__42: สวัสดีครับ
[0:03:56] shiba_t__: Cheer100 สวัสดีน้าบ
[0:03:56] pluemforzen: rebirthztvTueng rebirthztvTueng
[0:03:56] THARIN23: ดีคับลุง
[0:03:57] meaningless_12: ดีครับ
[0:03:57] kiniro1: ดีครับ
[0:03:58] sawut1: Squid1 Squid2 Squid3
[0:03:58] killuarog34: สวัสดีครับ
[0:03:59] kapomk10: ดีครับลุงงงงงง
[0:03:59] mikufreedxd01: สวัสดีครับพี่
[0:03:59] sa_som: อาหารจะหมดหลอดล่ะนั้น
[0:03:59] Raffyz_7: เทพเจ้า กาชา
[0:03:59] Biwty047: ดีค้าบบ
[0:04:00] nopparitnopparit: ดีครับ
[0:04:00] kimjiz4: .........
[0:04:02] IcezyBlueII: WheelDark
[0:04:02] boom_boom12345678: สวัสดีครับลุง
[0:04:03] guyza220: อาหลงdwมาเติมกาชาที่นี้สตอนรี่ไรหว้าาา
[0:04:03] ss_sunisa: สู้ค้าบบบบบบบ
[0:04:04] tipakon_xx: rebirthztv10
[0:04:05] yip_see: ดีครับลุง
[0:04:06] outsimee: ดีคาบบบบบ
[0:04:07] jeenjub: BegWan BegWan
[0:04:07] recyclel: ดีครับ
[0:04:07] rungkama145: ดีคับ
[0:04:08] print2107: คับ
[0:04:09] so_r1ch: <3 <3 <3
[0:04:11] purple_moon_iusupczz: @nerdz_kgn ดีจ้าคุณ jackey9Mnheart
[0:04:11] sawut1: PowerUpL DarkMode PowerUpR
[0:04:12] YOUSTAR444: ดีค้าข
[0:04:13] polkritza: @purple_moon_iusupczz สวัสดีค้าบบพี่ซุป amndtwHi amndtwHi
[0:04:13] syrup01gl: ดีคราฟลุง
[0:04:13] deaw17555: PoroSad PoroSad
[0:04:13] mek_11: หลอดข้าวจะหมด
[0:04:15] titiarale: d nup 💜💜
[0:04:16] asdfghjik11: MercyWing2 FBPenalty
[0:04:16] beeboy_reb: rebirthztv10
[0:04:18] yeegod8936: ดีคับ HolidaySanta
[0:04:19] killua_zoldyck0_: ดีคับ
[0:04:21] sharkienook: ดีค้าบบบบ
[0:04:21] id0ntWannaCry: jackey9JackeyDja
[0:04:21] soi_bad: <3 <3 <3
[0:04:22] aphisit_few: ดี
[0:04:23] xffey: ดีคับ
[0:04:23] oneouts_: oneouts_ subscribed at Tier 1. They've subscribed for 6 months! rebirthztvITA
[0:04:23] hobbinkop: กดผิดหรือตั้งใจเปิด555555
[0:04:25] babygoodnight_: ดีค้าบ
[0:04:25] ooll223451: SeemsGood
[0:04:25] jasperzzs: jasperzzs subscribed at Tier 1. They've subscribed for 20 months! 
