[0:02:00] ravipoh: ยัง
[0:02:00] exworawat1596: ยังครับ
[0:02:00] nai111nai: ไม่
[0:02:01] watcharachoitchai: ยัง
[0:02:01] thanapon31: ยังเลยลุง
[0:02:01] deammmmmm111: รูเๆ
[0:02:01] forgotmacyn: ไม่รู้คับลุง
[0:02:01] FahSkyy_: ไม่
[0:02:01] first_9new: ไม่รุ้
[0:02:01] LEBELX: ไม่
[0:02:01] engineerp06: เอาเี
[0:02:01] nuttakron_00: ยัง
[0:02:01] ballzanarakk: ไม่
[0:02:01] kivd123123: ไม่
[0:02:01] Nakanin_85: ไม่
[0:02:01] puttakun123: หึ
[0:02:01] mintxlx: รู้
[0:02:01] bigdell09: ไม่
[0:02:02] kimphakorn: ยัง
[0:02:02] boyzy55: ยัง
[0:02:02] poomtanwa: 14
[0:02:02] nopphadon_9_: ไม่รู้
[0:02:02] Kanomfu: ไม่รู้
[0:02:02] besttyyoo: ไม่
[0:02:02] MN_NamX: รู้ครับท่าดูนาน
[0:02:03] piriyapattp: รู้ละ
[0:02:03] bunjerd9: ไม่
[0:02:03] kanbank36: ไม่ๆ
[0:02:03] Abefirst: เหอะ
[0:02:03] BABYBIGBOY_888: ไม่
[0:02:03] Apivat_: ไม่รู้ครับ
[0:02:03] RLEE___x: 1412
[0:02:03] view_zip: ไม่รู้
[0:02:03] imissyou97: ไม่รู้
[0:02:03] Tonnam_LT: ยัง
[0:02:03] min_tok: รุ้
[0:02:03] KAPUJJJJ: ยังไม่รู้
[0:02:03] newchst: ไม่
[0:02:03] DELANEY_DAY: 14
[0:02:03] OwenDekD: 14…
[0:02:04] chanan123321: ยัง
[0:02:04] thantap44: 1412
[0:02:04] nanny44_: ยัง
[0:02:04] nuunahee888: ะี่เปา
[0:02:04] SomeOne_1t: 14
[0:02:04] godzilla2363: รู้คับ
[0:02:04] kluayro: ยัง
[0:02:04] JessePinkmannz: ยัง
[0:02:04] pon_laosno1: ไม่
[0:02:04] PonWinnerie: ยัง
[0:02:04] fannarak1975: ไม่
[0:02:04] onionsobig: 14....
[0:02:04] pondjaza: 14
[0:02:05] supakorn_9: ไม่รู้
[0:02:05] nueng_xx: ไม่
[0:02:05] suttipong_249: 1412
[0:02:05] gamekup29: ไม่
[0:02:05] mindnakub99: 1412
[0:02:05] GOTENBALL: ไม่รู้
[0:02:05] DEKDEW: ไม่รู้
[0:02:06] 4381_: ไม่รู้
[0:02:06] josephrf3: ไม่ครับ
[0:02:06] time_line_e: ยัง
[0:02:06] mosxxxxxx: ไม่
[0:02:06] nontachai78: พอรู้
[0:02:06] nongtanffg: ไม่แน่ใจๆ
[0:02:06] klayotaa: ยัง
[0:02:06] premiun01: ยัง
[0:02:06] dakawa1122: ไม่
[0:02:06] frostss77: 1412
[0:02:06] thuanoiz: ยัง
[0:02:06] vampires444: ยั
[0:02:06] sharkwhite7: ยัง
[0:02:07] firstyeah1234: 14
[0:02:07] tanapoom2312: ไม่
[0:02:07] ck9rider: ไม่รู้
[0:02:07] pongsakling05: รู้
[0:02:07] golf22553344: ยัง
[0:02:07] golf9921: จริง
[0:02:07] ohmygoshYS: ยัง
[0:02:07] holygane: รู้ๆครับ
[0:02:07] mona_wexkj: 141...หรอครับ
[0:02:08] KHUNTIGER: ไม่รู้
[0:02:08] kenshinxz: 14
