[0:02:29] WatDaFakK_21: เอ๊าะะะะ
[0:02:29] ME_JAOPLOY: ดีงับ
[0:02:31] 7sevenerror: ดีค้าบเส
[0:02:32] nannphathndakha: ดีคัาบ
[0:02:33] wongwiwat1236: ดีคร้าบบ
[0:02:33] jpokpong: ค้าบบบ
[0:02:34] zukadr: หวัดดีคับ BegWan
[0:02:34] purple_moon_iusupczz: @ben01042547 สวัสดีจ้าเบน PrideWave
[0:02:35] kainuy29: หวัดดีสุผู้สุคนเด้อค้าบบบบบ
[0:02:35] SryXZ_: สวัสดีครับคุณลุง
[0:02:35] tekung2012: ดีงับบบบ
[0:02:35] phutthicha: ดีค่ะ
[0:02:39] paniaramaiket: ดีค้าบลุง
[0:02:39] nannphathndakha: rebirthztv10 rebirthztvAfk
[0:02:40] teerapat_48: ดีครับ
[0:02:41] mark7783: PoroChop
[0:02:43] gamekoas: ดีค้าบบ
[0:02:43] puvadol06: ดีครับบ
[0:02:44] MynameisAf: rebirthztvITA rebirthztvITA
[0:02:44] namegag2243: rebirthztvHurt
[0:02:45] Latte_x47: ดีค้าบ
[0:02:47] Jackzgoboy: ดีครับบาโบ๊วฃ
[0:02:47] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:02:48] nannphathndakha: PoroChop
[0:02:48] supperkaku: รอเสื้อค่าบบ
[0:02:48] OvEl2DoSe: @purple_purple_iusupczz โย่ววว
[0:02:50] chanachai2545: ดีค้าบ
[0:02:50] mark7783: PoroChop PoroChop PoroChop
[0:02:50] purple_moon_iusupczz: @ovel2dose โย่ว
[0:02:51] finixnover: มาแล้ว
[0:02:52] kingchatchai1: ใช่ลุงแม็คเหินโหนกไหมครับ
[0:02:53] assakorn: @purple_purple_iusupczz สวัสดีครับพี่
[0:02:53] jamesNjNj: ดีครับ
[0:02:54] oat55130: rebirthztvITA
[0:02:55] kommark_k1: ดีคับพี่เอส
[0:02:55] minip__: StinkyGlitch
[0:02:57] thanaphattv: ดีครับ
[0:02:57] conan1153p: ดีค้าบบ
