[3:02:51] istillremembermomentwithu: 55555
[3:02:51] dxkdarwinz: พอ มาเต้นดีกว่า555
[3:02:52] origiiiiiii: 5555555555555
[3:02:52] THEKimHan: 5555555555555
[3:02:52] sj_2006: 5555
[3:02:52] watcharaphol2003: 555555555555555+
[3:02:52] arshiwynternelboy: 5555555555
[3:02:52] thanakrit116: rebirthztvHa rebirthztvHa
[3:02:53] jittakorn_22: เบอร์2เดือน กับเบอร์เป็นปี
[3:02:53] Bosszate: จ๊ะๆๆ
[3:02:53] qmori_2: qmori_2 subscribed at Tier 1. 
[3:02:53] BoyZ_NoBoody: เฮิบๆๆๆ
[3:02:53] immabigboss77: 5555555555
[3:02:54] ElectreN: 555555555
[3:02:54] ammy4599: 555555555555+
[3:02:54] PHATTARAWUT54: 5555555555
[3:02:54] i_am_wedday: 5555555555จ๊ะๆ
[3:02:54] neverdie_1992: 55555555
[3:02:54] Parinya_29: WutFace WutFace NotLikeThis
[3:02:54] zeelix18: ลุงเริงดีเลครบแล้วลุงเลยเที่ยงคืนละ
[3:02:54] naritsara11996: ฝันดีคับลุง rebirthztvJak <3
[3:02:55] p1yaxq: 55555555
[3:02:55] sword_rbz_isnoob: LUL
[3:02:55] ur_iz_en: 555555
[3:02:56] banknoi9: 55555
[3:02:57] awk1th: 5555555555555555555555555
[3:02:57] viewche: จ๊ะๆ55555
[3:02:58] santad_005: 5555
[3:02:58] blueopuz: 555555
[3:02:59] zsasztv9: 55555555555555
[3:02:59] nakharet09: เห้ออ55555
[3:02:59] torsalawut: ลุงเริง
[3:02:59] PURIPATYOO: 5555
[3:03:00] VespoCHOCO: 55555555555555555
[3:03:00] oxzyj: overมันกว่าอีกลุง
[3:03:01] filmoil20: amndtwLate
[3:03:01] purple_moon_iusupczz: เมื่อกึ้ตัวไม่บัคเค้าก็ไม่ได้แทงนะ
[3:03:01] dew_ezy: จ๊ะๆ
[3:03:01] justinstepup_: เพลงต่อๆ
[3:03:01] lookpalmmmm: 55555555
[3:03:01] film_got: จ้ะๆๆๆๆๆ
[3:03:01] saoriiii: อันนี้คือตีอยู่จริงๆป่ะหนิ 55
[3:03:02] dagoma555: rebirthztvHaha rebirthztvHaha
[3:03:03] pumba_pds: 5555555
[3:03:03] Disa5terEXE: 555555555555
[3:03:04] goeza_007: 55555555
[3:03:05] LeOn_MMIII: 55555555
[3:03:07] sdagachss: เเงงงงง
[3:03:07] ammarin41: ฮาอาตี๋จีงแฟนสก๊อตสุดแล้ว
[3:03:08] Calos_nathany: 5555555555555555555555555
[3:03:08] 0626973328: สนใจลุงเริงผมหน่อย
[3:03:08] tongclub1998: ปั่นเกินนนน
[3:03:09] bktzx1_: 5555555555
[3:03:09] lil3erty: 555555
[3:03:09] SaKiiiii1: 55555555
[3:03:10] sugarypete: เฮิปๆๆๆๆ
[3:03:11] Paonaja_: ลุงทอมOK
[3:03:11] heremos1: รื่นเริงจัดๆๆๆ55555555555
[3:03:12] zinyoritta0101: ฆีลอเดาะห์
[3:03:12] gooddeathza: ลุงทอมโอเค
[3:03:12] snackjaxck: dwเเดนหน่อยลุง55555
[3:03:12] purple_moon_iusupczz: เดี๋ยว
[3:03:12] paramet_blue: เฮิ้ปๆ
[3:03:13] PATtjt: ivydesHerb ivydesHerb ivydesHerb ivydesHerb
[3:03:13] tondudu007: เฮ้อะะะะ
[3:03:13] bandois: 555+
[3:03:14] Fantaz1995: satที่ยืนยุหลังมันหล่อจังว่ะหนะ
[3:03:15] SnookyXL: okอีกแล้วลุงทอม
[3:03:15] mistrustful_: เฮิ้ปๆๆๆๆ
[3:03:16] korn_cruel: ลุงทอมโอเค
[3:03:16] ZeeFiveTV: ถ้ายังไม่ซับแล้วโฆษณาจบลุงจะได้รายได้ทางโฆษณาไหมครับ
[3:03:17] hades66gamelive: ท่าพี่ตี๋แบบ555
[3:03:17] LookOddHN: ลุงทอม55555
[3:03:18] xkiter: 5555555555
[3:03:19] d3dxz: ต้องไปดูที่กล่องข้อความในtiktokคับ
[3:03:19] numaii_: เฮิปๆๆๆ555555
[3:03:20] Kong_surachet: rebirthztvNice rebirthztvNice
[3:03:20] boom0129: มิงโก้555555
[3:03:20] WinzBusy: เฮิ้ปๆๆๆๆๆๆๆ
[3:03:20] namsks: ok
[3:03:20] PhaiLinn_: เพลงหน้า3ช่า55555
[3:03:20] OLDMAN18YEAR: ทอม ok
