[0:00:14] 0871956352: ดีค้าบบบลุง
[0:01:36] vr_winny: ดีค้าบบบบบบ
[0:01:37] mon1361: ResidentSleeper Kreygasm
[0:01:37] JenosStyle: 𝗝𝗔𝗡𝗔𝗡𝗚𝗞𝗔𝗔𝗡🖤👑
[0:01:37] im_sinza: @purple_purple_iusupczz ดีครับพี่ซุป
[0:01:37] mookahaz: J do da k
[0:01:37] pongsatorn27010: ดีครับ
[0:01:38] nantawat92913: ดีครับบบบบ
[0:01:38] lookked_99: สวัสดีงับบ
[0:01:38] briangodth: ดีง้บ
[0:01:39] aum1116: สวัสดีค้าบบบบบ
[0:01:39] pppawww: หวัดดีงับบบบบ
[0:01:39] rr_one_god: ดีคับ
[0:01:39] suppachok_prommadan: ดีครับ
[0:01:40] beam4488: ดีค้าบลุง
[0:01:40] gadeanr: กกต
[0:01:41] ooosssrr: สวัสดีครับ
[0:01:41] pxxm2005_gg: ดีค้าบบบ
[0:01:41] nes_nea: ดีลุง
[0:01:42] FIRST_HND: ดีคับลุงงงงงงง
[0:01:42] kamush1: Kappa Kappa Kappa
[0:01:42] pornchai_1: ว้ววววววว
[0:01:42] tonkgawnakub: พึ่งต่อโมเดลเสร็จแหละ
[0:01:42] Ash1eyXII: เเท็กเกม
[0:01:42] aonjukku: นึกว่าจะลาสะแล้ว
[0:01:42] marspk: jackey9JAK jackey9JAK jackey9JAK
[0:01:43] toeymoshi39: นึกว่าจะเกเรอีกแล้วอม็ค
[0:01:43] sdwxz_: ดีครับ
[0:01:43] winterxwinner: rebirthztvTueng rebirthztvTueng
[0:01:43] adison2424: นึกว่าไม่มาละคับ หวัดดีคับพี่เอส
[0:01:44] d_donut_sk: สวัสดีค้าบมาเเล้ว
[0:01:44] dome_hub: rebirthztv10 rebirthztv10
[0:01:45] fatezeroone01: แทคเกมครับ
[0:01:45] cream_tithiya: ดีงับบบบบ
[0:01:45] champ_09mt: นึกว่าจะไม่มาส่ะล่ะ
[0:01:45] fffuke: rebirthztvOmg_TK
[0:01:47] connxrrg_: DrinkPurple DrinkPurple
[0:01:47] purple_moon_iusupczz: @rabbit_t_ ดีจ้ากระตุ่ย
[0:01:48] pxxm2005_gg: ดีค้าบบ
[0:01:49] zxmmngc: รักลุงกด1ค้าบ
[0:01:49] iloveyoupeple: ดีครับ
[0:01:50] THIPPLEX: @purple_purple_iusupczz พี่ซุปสวัสดีครับ
[0:01:50] owenely: ดีครับ
[0:01:50] hudkung: ดีครับพี่เอส
[0:01:51] mogzcylive: ihavecpu เฉย 555+
[0:01:51] donutty16: หวัดดีคับทุกคน
[0:01:51] Nightbot: อร่อยเฉยย~~~
[0:01:51] 0krit0: ดีครับพี่เอส
[0:01:52] chimo_kuji: ดีค้าบบบบ เกือบนอนไปแล้วแต่ไม่ใช่เวลานอน
[0:01:53] na536: มาแล้วค้าบบ
[0:01:53] cream_tithiya: นึกว่าจะไม่มาละ
[0:01:53] aonjukku: 1
[0:01:53] C4N0N_3805: ดีครับ
[0:01:54] chinr34: ดีครับ
[0:01:54] toeymoshi39: แม็คเกเร
[0:01:54] InCentury: mizuzWave mizuzWave mizuzWave mizuzLurk
[0:01:54] lucky30947: สวัสดีครับลุง
[0:01:55] kamush1: โหดจัดปลัดบอก
[0:01:55] purple_moon_iusupczz: @ben01042547 เบนดีจ้า
[0:01:56] sajokdd22: ดีค้าบ
[0:01:56] 082earth: ดีครับลุง
[0:01:57] prg_nontz: สวัสดีครับลุง
[0:01:57] kidsana01: ดีครับพี่เอส
[0:01:58] phet_112: ดีค้าบบ
[0:01:58] raksapum: วันนี้มีชดเชยนะครับพี่5555
[0:01:58] FreeTimeLife: พี่แท็กผิดเกมรึป่าว
[0:01:58] jame_pt2547: ดีคร้าบบบบ
[0:01:59] janayl_: SingsNote
[0:01:59] ReMix___: เกมใหม่หรอ55
[0:02:00] vi_iii_mmvii: ซาซาซา ซาลาเปา
[0:02:01] p_mxn_03: ลุงมาไม่ทันจุกร้องเพลง555
[0:02:01] pornchai_1: ย่าหู้วววววว
[0:02:01] FIRST_HND: ขอหนักๆลุง
[0:02:02] bankza123p: สภามาวันไหนเอ่ยย
[0:02:03] bankscg1: เมื่อไหร่จะโกนหนวดเครา
[0:02:03] lukababyboy: ดีคับ
[0:02:03] losapagapong: ดีค้าบพี่เอส
[0:02:03] Genesisgod_22: rebirthztvLove scotti166Scott1
[0:02:03] skyxxvx: @purple_purple_iusupczz ดีค้าบบบบพี่ซุป rebirthztvTew
[0:02:05] purple_moon_iusupczz: @im_sinza ดีฮ่ะ rebirthztvLove
[0:02:05] animal_ch: rebirthztvLove rebirthztvLove
[0:02:05] bigtargett: โย่วๆๆๆ จะ1mวิว แล้ว
[0:02:06] siwatesopa: นึกว่าจะไม่มาครับ BibleThump
[0:02:06] beam4488: LesbianPride LesbianPride LesbianPride LesbianPride
[0:02:06] nnitsupa: ดีค้าบบ StinkyGlitch
[0:02:07] tewit191: ดีครับลุง
[0:02:07] name_mai: ดีง้าบบบบบบบบ
[0:02:07] pony_festh: rebirthztvAngelTew_SGดีครับลุง
[0:02:08] kommark_k1: ดีคับพี่เอส
[0:02:09] teerapat__03: ดีครับพี่เอส
[0:02:09] raphael_4767: ดีค้าบบบ
[0:02:10] im_a_dragon_moon: สวัสดีครับลุง
[0:02:10] st_darling4: ดีครับ
[0:02:11] sajokdd22: แท็กเกมส์ผิด
[0:02:12] n0s38: garticเฉย
[0:02:12] maevz123: ดีครับพี่เอส
[0:02:12] pswac__: ดีคับพี่เอส
[0:02:13] chxt_tttt: นึกว่าไม่มา555
[0:02:13] WKDRXCK: ต้องชดเชยหละ แบบนี้555 ดีครับ
[0:02:13] OvEl2DoSe: หวัดดีคับพี่เอส
[0:02:13] nnitsupa: @purple_purple_iusupczz PrideFlower cmonBruh
[0:02:13] maNOP__: !uptime
[0:02:14] gith_5555: เกมไหม่ๆ5555
[0:02:14] sarawut0620703375: ดีคับลุง
[0:02:14] Nightbot: Stream uptime 2 minutes, 34 seconds
[0:02:14] picktvchanel: ดีครับ
[0:02:14] poom837: ดีคับพี่เอส
[0:02:15] nuball_1974: rebirthztv10
[0:02:16] fatezeroone01: แทคเกมตรับ
[0:02:16] purple_moon_iusupczz: @thipplex ตั้มดีจ้า
[0:02:16] phet_112: ดีค้าบพี่เอสสส
[0:02:17] monxxx123: ดีคับ
[0:02:17] khxwklxng: ดีค้าบพี่เอส
[0:02:17] tommeeme: rebirthztv10_HF
[0:02:17] mj_477: ลุงตะโกนยัง
[0:02:17] jeerawat_2546: สวัสดีครับลุง
[0:02:18] OvEl2DoSe: ดีคับทุกคนนนนนน
[0:02:18] chaimonghkon: ทวิต
[0:02:18] aonjukku: ฉลองเก้าอี้ใหม่
[0:02:18] Ash1eyXII: เเทคเกม
[0:02:19] pxxm2005_gg: เกมๆ
[0:02:20] kantaphing_n: wedwtf02 rebirthztvBad
[0:02:20] maplexinw: ฝันดีคับพี่
[0:02:21] knaw55: BloodTrail BloodTrail BloodTrail BloodTrail
[0:02:21] aum1116: สวัสดีครับทุกคน
[0:02:21] gxin_n: MercyWing1 Keepo MercyWing2
[0:02:21] kiriya_hasekai: dีkาบ
[0:02:21] nut_sn: ดีฮะ
[0:02:21] ben01042547: แท็ก
[0:02:21] kamush1: ลุงkfc
[0:02:22] KANAKORN_34: rebirthztvIQ200_SG
[0:02:22] folktvcx123dklkolxz: ดีค้าบพี่เอส
[0:02:23] raksapum: แท็กผิดเกม
[0:02:23] nongtzz: MercyWing1 PogChamp MercyWing2
[0:02:24] SryXZ_: สวัสดีครับ
[0:02:25] siqsicq10: Gartic ครับ
[0:02:25] Kai_Nui_: เกิดมาก็ร้องว่า i have cpu
[0:02:25] jeda_708: สวัสดีครับ
[0:02:25] chaimonghkon: ทวิตบังบอล
[0:02:26] chxt_tttt: ผิดเกมส์
[0:02:26] tommeeme: rebirthztv10_HF rebirthztv10_HF rebirthztvNeiyn_TK rebirthztvNeiyn_TK
[0:02:26] chonnak: LUL
[0:02:26] apologize91: #ผิดเกมส์
[0:02:26] thanyathon771: ดีค้าบลุง
[0:02:26] purple_moon_iusupczz: @re__g0d__09 สวัสดีงับ
[0:02:27] chimo_kuji: @purple_purple_iusupczz ดีค้าบบพี่ซุป
[0:02:29] real_fame: ดีครับลุงเริง
[0:02:29] sajokdd22: แท็กผิด
[0:02:29] TenglyCH: rebirthztvLove rebirthztvLove
[0:02:29] jaklovelove: ลุงได้เก้าอี่ใหม่เเล้วลุงได้เก้าอี่ใหม่เเล้วลุงได้เก้าอี่ใหม่เเล้ว
[0:02:29] peerapat_281: ดีครับพี่
[0:02:30] vyftoguh: ดีคับลุง
[0:02:31] tle_warinthon: ดีค้าบบบ
[0:02:31] jakkrit_23: นึกว่าจะไม่มาสะแล้วพี่5555
[0:02:32] iceland0941: SeemsGood SeemsGood SeemsGood SeemsGood
[0:02:33] theerasak800: สวัสดีคับๆๆๆๆๆๆๆ
[0:02:33] nogobi_9543: MercyWing1 MercyWing2
[0:02:33] ReMix___: ตัวย่อของgta
[0:02:33] Running_31: สวัสดีค้าบ
[0:02:33] sosadei: ทันป่าวค้าบบพึ่งมา
[0:02:34] charcoallele: ดีครับ
[0:02:34] bellll_07: ดีคับพี่
[0:02:34] pronofake__: แท็คเกม
[0:02:35] purple_moon_iusupczz: @nnitsupa HypeWow
[0:02:35] mkkfd: สวัสดีครับลุงเอส
[0:02:35] poom837: HeyGuys HeyGuys HeyGuys HeyGuys
[0:02:35] paporgamertv: ดีก๊าบบบบ
[0:02:35] chxt_tttt: ลุงผิดเกมส์
[0:02:36] khunvit: @purple_purple_iusupczz หวัดดีครับพี่ซุป jackey9JackeyDja
[0:02:37] auto1122zxzx122: สวัสดีครับงับบุบบับบิบ
[0:02:37] taey2006: ดีครับบบ
[0:02:37] apiwat249: ดีค้าบ
[0:02:38] godzeed_2007: แท็กผิดเกม
[0:02:38] PetTV: @purple_purple_iusupczz ดีครับพี่ซุบ
[0:02:38] xleroil: DarkMode
[0:02:39] phet_112: ดีค้าบลุง
[0:02:39] natthanon04: ดีครับ
[0:02:39] pony_festh: rebirthztvAfk_TK
[0:02:40] jopjop009: ซื้อคอมที่ไหนดีสุดครับพี่
[0:02:40] chaimonghkon: สวสดีครับ
[0:02:42] bank_rock101: ดีคับ
[0:02:42] Nightbot: กองกำลังตู้! Kappa
[0:02:42] reonardd13: เตึยงดูดป่ะลุงงง
[0:02:42] zxmmngc: รักพี่เอสกด1
[0:02:43] 2t_lowsmart: สวัสดีครับทุกคน
[0:02:43] purple_moon_iusupczz: @kun_nrd339 ดีจ้า rebirthztvLove
[0:02:43] bubblegundam: rebirthztvMc rebirthztvMc
[0:02:43] ashita5245: เเท็ค
[0:02:44] beertvpp: ลุงครับจุกเป็นgot7ละครับ5555
[0:02:44] thezackni: แท็กผิดเกมไหมลุง
[0:02:44] sixser15y: TakeNRG GivePLZ TakeNRG GivePLZ TakeNRG GivePLZ
[0:02:44] NobiBabybigboy: ดีค้าบคูมมลุงงง
[0:02:45] chxt_tttt: แท็คผิด
[0:02:45] pangpound18: หวัดดีค้าบบ
[0:02:45] patcharadanaikeehee: ดีครับลุง
[0:02:45] aomahhhh: ดีค้าบลุง
[0:02:45] raphael_4767: @purple_purple_iusupczz ดีง้าบพี่ชาย <3
[0:02:45] kayk2545: รอใจจะขาดดดด
[0:02:46] fatezeroone01: แทคเกม
[0:02:47] deen9628: @purple_purple_iusupczz สวัสดีค้าบพี่
[0:02:47] VIEW_SAD_BOY: หะ
[0:02:47] Nightbot: พี่เอสหล่อมาก
[0:02:47] nnitsupa: @chokeyyyyy ดีจ้าา
[0:02:47] PetTV: @OvEl2DoSe ดีครับพี่แชมป์
[0:02:47] THIPPLEX: 55555555
[0:02:47] DonnyNP: 55555555555
[0:02:48] kun_zen: ดีครับผม
[0:02:48] siqsicq10: นอนยังครับลุง
[0:02:48] naofal1961: เเท๊คผิด
[0:02:48] khinglikeyme: ดีงับ
[0:02:49] onewing_aaa: เกิดมาก็ร้อง ihavecpu
[0:02:49] songkran_jpk: ตะโกนๆๆๆๆๆ
[0:02:49] gmers1: SeemsGood
[0:02:49] donutty16: หวัดดีคับลุง
[0:02:50] jetsadakon_frame1352: นึกว่าจะตามทรงละ555
[0:02:50] maNOP__: แท็กเกมลุง
[0:02:50] kamush1: เจาะเมาะ
