[0:01:41] Fonnrainnyy: jackey9JackeyDja jackey9JackeyDja
[0:01:42] ponser999: gumtvxSleep
[0:01:42] SXME_TIME: ลุงมีไฟจ้าดด ดีครับ
[0:01:42] note_op1: ดีีค้าบลุงงง
[0:01:42] chokkkk7: รักลุงมากๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ
[0:01:43] patrapee_e: ดีค้าบ
[0:01:44] ice_ttu09: ดีครับบ
[0:01:44] marrychriss: !uptime
[0:01:44] aiambaam: ดีค่า
[0:01:44] Nightbot: Stream uptime 1 minute, 50 seconds
[0:01:44] max5560: เดือนแน่
[0:01:45] vegasrealgod: ดีคับ
[0:01:45] nawanon17: เซอร์ลุงไม่พักเลยหรอ
[0:01:46] dui_thanapat: ดีครับเฒ่าแก่
[0:01:47] jwea07: สวัสดีครับลุง
[0:01:47] banknoi9: jackey9Huphup jackey9Huphup
[0:01:48] name_444: ดีคน
[0:01:48] geniuseiei: RyuChamp RyuChamp RyuChamp
[0:01:48] oat1908: ดีครับสุดสวยยย
[0:01:48] tanakron17: ดีค้าบบบลุงงง
[0:01:48] santad_005: ดีครับลุง
[0:01:48] THIPPLEX: สวัสดีครับ
[0:01:49] champ7725: ดีค้าบ
[0:01:49] xzskdl_tlto: ดีงับ
[0:01:49] phonlakrit76: ดีคับ
[0:01:50] phakbungphanyo: ดีฮะคุณเเม็ก
[0:01:50] nattapatkatchawil: FUNgineer
[0:01:51] nattawut_420: SingsMic SingsMic SingsMic
[0:01:51] meenkv: ช่องพี่เปาบินไปแลัวครับ
[0:01:51] 16mulan63: ดีครับ
[0:01:51] tong_99999: rebirthztvLucas rebirthztvLucas
[0:01:52] kayang_blackwolf: สวัสดีครับคุณลุงมีไฟ
[0:01:53] anas_ut: @ovel2dose ดีค้าบพี่เลิฟ
[0:01:53] coffemio: ดีคับ
[0:01:53] kenzo_herculer: ko_paradorn14 subscribed at Tier 1. They've subscribed for 7 months! 
[0:01:54] Anucha0412: หวัดดีครับพี่เอส
[0:01:54] premanus2551: ลุงดีดหรอครับบบบบบบบบบบบบบบบบบบ
[0:01:55] titusrebellion: ดีค้าบบ
[0:01:56] gotzeelaa: เสียไม่ได้
[0:01:56] hey2hey__: CaitlynS CaitlynS
[0:01:56] lukakishiiz: D kub
[0:01:57] charif555555: ดีค้าบพี่ssssss
[0:01:57] iamgodjustyouknowistomez: <3 <3
[0:01:57] thanagun27: คนมีไฟ
[0:01:57] lil_monx1: ได้เวลาเดือดแล้วสิ้
[0:01:57] berbboobae_: ดีคับบ
[0:01:58] team_096: สวัสดีวัยรุ่นไฟแรง
[0:01:58] save_vincenzo: ดีครับลุงง
[0:01:59] kongxxz: rebirthztvLove
[0:02:00] g3ToutVv: ละลุงมา
[0:02:00] zxzwwe: ดีคับ
[0:02:01] i_am_wedday: Ahhh yo bro ดีครับลุง jackey9Heartkub
[0:02:01] nonsnook26: ดีครับพี่เอส rebirthztvPlease
[0:02:01] NESYESS: ดีครับ
[0:02:01] sn0pparuj__: ดีคร้าบน้าาา
[0:02:01] watcharapongg: jackey9Heartkub
[0:02:01] vgkilp: ดีคับ
[0:02:02] tutsuya: ดีครับ
[0:02:02] nxeyy__: ดีน้าบจุนลุง rebirthztvLove
[0:02:02] ingspkk: ingspkk subscribed at Tier 1. They've subscribed for 4 months! 
[0:02:03] peemai_twr: ดีฮ๊ะจุนลุง
[0:02:03] UpzZz2: ดีครับ
[0:02:03] iconcrush: jackey9Huphup jackey9Huphup jackey9Huphup
[0:02:03] blejah26: ดีคับบลุง
[0:02:04] OvEl2DoSe: ดีคับพี่เอสสสสสส
[0:02:04] 42OOG_: หวัดดีค้าบ
[0:02:05] windowsxe: สวัสดีค้าบบ
[0:02:05] noey9667: rebirthztvHoldem
[0:02:06] Taem009: ดีครับคุณลุงงงงง
[0:02:06] nattpong_: ดีค้าบบบลุง
