[0:03:23] jiraphattv: ดีคคับ
[0:03:24] midfild: ใครสปอยหว้าาาา
[0:03:24] best_kst: ว่าละต้องมีพวกสปอย555
[0:03:28] donut_t0: ไม่สปอยนะคะ สุดหล่อทั้งหลาย
[0:03:28] sadbunny1993: สปอยเสร็จ โดนแบนมาร้องงอแงอันนี้ก็ไม่เอานะ
[0:03:28] r2_kog: เอาเเต่ต้นเลยหรอเเชท5555
[0:03:29] peesoxa2345: ดีค้าบบบ
[0:03:30] nikky_brave_heart: ดีครับลุงแม็ค
[0:03:30] kiw001502: ดีงับพี่เอส
[0:03:30] jeda_708: ดีค้าบบบบ
[0:03:31] iam_pearry_pattaranun: มาแย้ววววววววววววววว
[0:03:32] 007xla: สวัสดีค้าบบบ
[0:03:32] yo_thanawat: ดีคับ
[0:03:33] ramee_555: ไหนบอกไม่มาง้ะลุงงงง
[0:03:33] 38_KillzX: @new990 5
[0:03:34] fearchx9: หวัดดีงับ
[0:03:34] somtam01: @ntaly35 จะสปอยเพื่อไร
[0:03:34] areman_3535: ดีจร้าาาาลุงงงงงง
[0:03:35] aum1116: สปอยเเล้วไม่สนุก
[0:03:35] lutherkoby: ใ
[0:03:35] arm313131: ดีครับ
[0:03:36] anfield234: ดีค้าบ
[0:03:37] adison2424: สั่งล็อคดาวทำไมคับลุง
[0:03:37] thefiercefish: 1
[0:03:38] tle557: ดีคับ
[0:03:39] phubodhin_fino: ลุงสวัสดีครับ
[0:03:41] mnguih: เด็กๆร้องระงมมมมมม
[0:03:41] ratthanun_sirisom: rebirthztvAfk_UN น่ารัก
[0:03:42] restickkk: พวกสปอยสมาธิสั้นทั้งนั้นเเหละครับปล่อยๆไปเหอะ
[0:03:43] nay_nps007: ดีครับสุดหล่อออออ
[0:03:44] 74we1: สวัสดีครับ
[0:03:44] neptune_ho: ทำไม่แชดเดี่ยวนี้หัวรุนแรงจังอะครับ
[0:03:44] paradin2004: แชทซื่อบื้อ
[0:03:45] artee_989: ล่างเดือดบนสบาย
[0:03:45] pornchai_1: ดีคับ
[0:03:45] LARGEBODy_GLHF: ดีครับพี่เอส
[0:03:47] b_beam888: rebirthztvCritical
[0:03:47] jo_beereiei: ดีคับ
[0:03:48] pondper_448: ดีคาบลุง
[0:03:49] assakorn: ดีค้าบพี่เอสส
[0:03:49] new990: @por_nsw1888 อ่อคับ
[0:03:50] nfydt: TransgenderPride TransgenderPride TransgenderPride TransgenderPride TransgenderPride
[0:03:50] ba_furu: สวัสดีครับ
[0:03:51] icekung__tv: RIP.จุกเหม็น
[0:03:52] thefiercefish: ทรงผมนี้ไม่เปลี่ยนแล้วล๊ะ
[0:03:52] MONARCH447: ดีครับ
[0:03:53] job2552: เย้ยยยยยยยยยยยยยยยยยยและดารารับสมัครงานที่ต้องมาคุย
[0:03:54] MemeGTAVFiveM: @new990 วันที่32ครับ
[0:03:55] MaithaiJaitawan: มุแง๊5555
[0:03:56] 9twz_ball_zz: @godteeza เพื่อ
[0:03:58] lutherkoby: ิ
[0:03:58] hfvfvdhduecfrh: ดีตาบๆ
[0:03:58] thanavit1234: หวัดดีคับ
[0:03:58] Arnon_IsChannel: D kub
[0:03:58] freedomtvgg: สวัสดีครับพี่เอส
[0:03:59] b_beam888: ,
[0:04:00] akkarapon18: ดีค้าบ
[0:04:00] Up2Skyy: แชทสีอื่นนี่คือเวลอัพใช่มั้ยครับ
[0:04:07] jamesaaya: BrokeBack BrokeBack BrokeBack
[0:04:08] mnguih: เด็กๆๆร้อง ระงม 55555
[0:04:09] dunyawat_title: ดีคับ
[0:04:10] auaou: 555555
[0:04:11] icekung__tv: ลาก่อนพี่จุกของผมแล้วเจอกัน
[0:04:11] many0q: ดีงับ
[0:04:11] tompool20: วัดดี
[0:04:11] sincure_: เข้ามาก็เดือดเรยเเชทใจร่มๆนะ
[0:04:12] sulaihan44: สวัสดีคับบ
[0:04:12] pornchai_1: ห้ะ
[0:04:12] 05beer: ดีครับบบ
[0:04:13] purple_moon_iusupczz: สวัสดีครับพี่เอส
[0:04:14] donut_t0: หวัดดีค่าาาาาาา
[0:04:14] kim_57u: ดีค้าบบบ5555
[0:04:15] lovepopl: !sc
[0:04:15] best_kst: 555555555555
[0:04:15] arshiwynternelboy: เสียงไปล่ะ555
[0:04:16] tapooh: สวัสดีครับลุง
[0:04:16] saran_live: สวัสดีครับ โรโบตู้ คาเเม็ก
[0:04:16] flappawat: ดีค้าบ
[0:04:17] sup3rteam_: ดีครับบ
[0:04:17] mos310840: ลุงข้างล้าง
[0:04:18] nioralone_777: ตื่นยังเนี่ยพี่55555
[0:04:19] poom_siripoom: ดีคับลุงงงงงงงงง
[0:04:20] kebehdj: rebirthztvTew
[0:04:21] snim0kung: 555555
[0:04:21] mekhinthrrrr: หวัดดีค้าบบบ
[0:04:22] nnitsupa: @aadd9 คิดถึงจัง PrideFlower
[0:04:22] sesomaru_zzz: กมดค
[0:04:22] Nightbot: ก็มาดิครับ!
[0:04:22] purple_moon_iusupczz: สวัสดีนะครับทุกคน rebirthztvPlease
[0:04:22] pop_pop11: สวัสดีครับ
[0:04:22] s0dix_: กมดค
[0:04:22] hatari445: @purple_purple_iusupczz ดีงับบ
[0:04:24] digreally: สวัสดีครับพี่เอส
[0:04:24] iam_pearry_pattaranun: ดีครับจ่าตู้5555555
[0:04:24] rabbit_t_: @purple_purple_iusupczz หวัดดีน้าบบบ
[0:04:25] callmenaning_: ดีฮับ
[0:04:25] maxillarythe: ดีค้ทบ
[0:04:25] jirawatrosol: rebirthztvOmg
[0:04:26] nnitsupa: WutFace
[0:04:27] nioralone_777: เสียงไม่ไหวเลย
[0:04:27] supanat_49: จุด
[0:04:28] pukqjkd: ดีค้าบบ
[0:04:28] b_beam888: บอท
[0:04:29] 05beer: @purple_purple_iusupczz พี่หวัดดีครับ
[0:04:29] job2552: 20.48เเล้วครับ
[0:04:29] purple_moon_iusupczz: @hatari445 ดีจ้า
[0:04:29] auaou: @purple_purple_iusupczz หวัดดีพี่ซุป
[0:04:30] maneerut1121: อะเครจ้าาาา
[0:04:30] pimsty_: WutFace
[0:04:31] 9twz_ball_zz: ดีๆครับ
[0:04:31] viewnover1: ไม่ได้ดูนานวัดเดหายไป
[0:04:31] supanat_49: จุก
[0:04:32] rozysss: มีเซอร์ไพรส์ด้วย
[0:04:33] pond1997wow: สวัสดีครับ
[0:04:33] MaithaiJaitawan: @purple_purple_iusupczz สวัสดีครับพี่ PrideHeyyy
[0:04:35] inlovehsp: BibleThump
[0:04:35] pjijrw: พี่เอสได้คนตัดคลิปหรือยังครับ
[0:04:35] midfild: เที่ยงคืนนนนนนน
[0:04:35] jo_beereiei: ดีคับๆ
[0:04:36] tangkubbbbb: เคค้าบบบ
[0:04:36] 38_KillzX: whp
[0:04:36] deankung123: ฝันดีงับ
[0:04:36] r5r5live: ฝันดีครับพี่
[0:04:37] digreally: @purple_purple_iusupczz สวัสดีครับพี่ซุป
[0:04:37] purple_moon_iusupczz: @tai_1144 สวัสดีครับ rebirthztvPlease
[0:04:38] meaningless_12: ดีครับ
[0:04:39] hhreeehg: เย้ๆ
[0:04:39] supanat_49: จุกโดน
[0:04:40] tanisorn01: SeemsGood
[0:04:40] Anakin_XD: @purple_purple_iusupczz สวัสดีฮะพี่ซุป
[0:04:41] sirapop_2788: Squid1 EntropyWins Squid4
[0:04:42] xerbig_: ดีครับดี
[0:04:42] nnitsupa: LUL LUL
[0:04:43] purple_moon_iusupczz: @05beer ดีจ้า
[0:04:43] artzazaza11: ไม่แจ้งเตือนอีกล้า
[0:04:44] estarwut: สวัสดีครับพี่ตู่ ลุงเอส
[0:04:45] best_kst: อย่าสปอย
[0:04:46] job2552: ดีอยู่ครับ
[0:04:47] icekung__tv: พี่จุกตายแล้วลุง
[0:04:47] zipponuneza: จุกจะเอ๋อแล้วลุง
[0:04:47] auaou: @supanat_49 สปอยเพื่อ
[0:04:48] maneerut1121: สปอยเพื่อออออออ
[0:04:48] MONARCH447: พี่ไม่หยุดละ
[0:04:50] sesomaru_zzz: @supanat_49 เพื่อ
[0:04:50] uiojgu: จุกโดนลุง
[0:04:51] nioralone_777: สูบชาพี่ผมแนะนำ5555
[0:04:51] toey_169: 5555เจอแชทบื้อกระชิบมาว่า
[0:04:51] purple_moon_iusupczz: @auaou สวัสดีครับ rebirthztvLove
[0:04:53] pongsakonrtt: สวัสดีครับลุง
[0:04:53] MaxNolike: อะไรคือ ตู้โอคอนเนอร์ SS1 ครับ
[0:04:53] jo_beereiei: @supanat_49 จะสปอยเพื่อ
[0:04:55] daruma_mun: สวัสดีครับพี่เอส
[0:04:55] penguin1150: rebirthztvHaha rebirthztvLove rebirthztvITA
[0:04:58] poom_siripoom: ดีครับดี
[0:04:59] maneerut1121: อะไรกันเเชท
[0:05:00] sesomaru_zzz: @uiojgu เพื่อ
[0:05:00] tangkubbbbb: ไม่สปอยกันเด้ออ
