[0:02:18] anas_ut: ดีค้าบพี่เอส
[0:02:18] Nightbot: Stream uptime 2 minutes, 26 seconds
[0:02:18] VanNuttapong: SeemsGood
[0:02:19] mnattapong2565: สวัสดีครับลุง🙏
[0:02:19] juniorzafil: ดีคับลุง
[0:02:19] kong_030: มาไวมากกกกก
[0:02:19] narongrit211: ขอเพลงหน่อยคับ
[0:02:19] je12sd: ดีค้าบ
[0:02:20] finan04: ดีครับบบบบ
[0:02:20] day5896: วัยรุ่น8หลัก
[0:02:20] dinomeaw_kiki: ดีค้าบบบบ
[0:02:20] nxttxzr: ดีค้าบ
[0:02:21] donny_2006: ดีคับมาไวนะ
[0:02:21] itkab: ดีค้าบบบบบ
[0:02:21] QuAzZeR: ไม่ไปยืนบนบ้านใหม่หรอครับ
[0:02:22] cyraxax: ดีครับบบบ
[0:02:22] diamonstv_: สวัสดีครับพี่เอส
[0:02:23] manny9723: ดีครับ
[0:02:23] paraktom_: ดีครับลุงงงงง
[0:02:23] tong_god: ดีครับ
[0:02:24] poiknr: สวัสดีครับ
[0:02:24] bluezonez: สวัสดีครับเอส 35 rebirthztvShy rebirthztvHaha
[0:02:24] nantawat92913: ดีครับสุดหล่อ
[0:02:24] Predator_zo: ไปบ้านใหม่หน่อยคับลุง
[0:02:25] losotonza01: LUL LUL LUL
[0:02:26] patiparn55: มาแล้ววได้เวลาเคลียกับน้าแล้วว55555555555555
[0:02:27] wittkwitssz: ดีครับวัยรุ่น8หลัก
[0:02:27] 3sofree: ดีครับ
[0:02:27] kritsana_nay: มาเร็วกว่าทุกวันน
[0:02:27] email000: jackey9JackeyDja jackey9JackeyDja
[0:02:28] shadowx_00: ดีครับ
[0:02:29] kosukejak: ดีครับ
[0:02:29] bosslebanon: ดีน้าบบบบ
[0:02:29] louis0000055555: ดีครับลุง
[0:02:29] baconffsd: ดีครับลุงขี้ยู่
[0:02:29] pkza112: สวัสดีค้าบแชท สวัสดีค้าบพี่เอส
[0:02:29] EpeRorXD: ดีค้าบบบบบบบบบ
[0:02:29] 0611474740: ไม่ไปบ้านใหมหรอครับ
[0:02:30] teerapat80124: ดีครับลุง
[0:02:30] bi_kabb: วันนี้มาเร็ววววว
[0:02:30] 038814: ดีครับลุง
[0:02:31] bluelet000: ดีครับสุดหล่อ
[0:02:31] visit_69: มาไวเกินลุงงงงงงงง
[0:02:31] tiger_j4tg: ดีครับ
[0:02:31] waikasoft: rebirthztvAroi
[0:02:31] oatjosa: rebirthztvAhiahi rebirthztvAhiahi rebirthztvAhiahi
[0:02:31] bellkungzing: rebirthztvMc rebirthztvMc
[0:02:32] dream12345: rebirthztvPanpee
[0:02:32] chanchai_99: ไวเกินลุงสวัสดีครับ
[0:02:32] boston_ci: jackey9JackeyDja
[0:02:32] amsaiyaa: ดีน้องเอส
[0:02:32] stang12tanasup: SeemsGood SeemsGood SeemsGood
[0:02:33] coke_phongsatorn: rebirthztvAfk
[0:02:33] arshiwynternelboy: ดีค้าบบบบ
[0:02:34] wasan06631: มาแล้ววว
