[0:02:47] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:02:48] khinglikeyme: สวัสดีงับบบ
[0:02:49] natawat77: DarkMode DarkMode DarkMode DarkMode DarkMode
[0:02:50] yanisa_1: สวัสดีครับลุง
[0:02:51] aventadorurus: วันนี้มันแน่
[0:02:51] benzzz22: ดีครับ
[0:02:52] earth_1412: ดีครับ
[0:02:52] taaaaaaaaaaaa12: rebirthztvOk
[0:02:54] amndzz: amndzzz subscribed at Tier 1. 
[0:02:55] xxx_worapoht: DarkMode DarkMode DarkMode DarkMode
[0:02:55] two_2_stsj: ดีค้าบสุดเท่
[0:02:55] 9mocca: สวัสดีค้าบ
[0:02:56] anuchit4k: เข้
[0:02:57] jattapon001: ดีค้าบ
[0:02:57] 0917238858: เซิคมานะแต่อยู่เซิฟอะไรไม่รู้
[0:02:57] kawaiiqa: Squid1 Squid2 Squid3 Squid2 Squid4
[0:02:59] purple_moon_iusupczz: bungotComf
[0:02:59] LUTFEE_47: ต่อซัพให้แล้วนะครับ
[0:02:59] p_lai_: หวัดดีครับพี่เอส
[0:03:00] thanaphat_big: สวัสดีครับ
[0:03:00] klahs999: rebirthztvTueng_BW
[0:03:00] pikcww: ดีค้าบลุงงงงงงงงงงงงงงงงงงง
[0:03:01] seceth: rebirthztvJak
[0:03:01] phongsakon05: ดีงับพี่เอส
[0:03:01] gtsxif: ดีค้าบบบบ
[0:03:03] pongsakorn0109: ดีงับบ
[0:03:05] natthachai999: สวัสดีครับลุง
[0:03:06] aomsinz__stp: rebirthztvLove rebirthztvLove
[0:03:08] bz_remix_official: @jijjvf ลุงไม่รู้เท่ากับ สปอยอย่าเถียง
[0:03:08] new_gy: jackey9JackeyDja
[0:03:09] nobi_not: jackey9JAK
[0:03:09] SECHZEHN_: สวัสดีครับ rebirthztvLove
[0:03:10] polecod: วันนี้มันส์ไหมครับลุงงงงงงงงงงง
[0:03:11] kitjapk: สวัสดีครับลุงแม็กโดโนล
[0:03:11] ford_bgz: StinkyGlitch
[0:03:13] SharkReversez: สวัสดีคัรบพี่เอส rebirthztvLove rebirthztvJak
[0:03:13] benzteerawut: ดีง้าบบบ
[0:03:13] phugun999: ดีครับลุงแคว็ก
[0:03:13] baewkung: ออกjakยังครับ
[0:03:14] maganta99: เพิ่งไปดู4รุม12มา555อย่างเอา
[0:03:17] kanar40: แจ๊คกี้แย่แล้วลุง
[0:03:18] armzxcc: ดีค้าบบบ
[0:03:18] earth_eng14: VoHiYo
[0:03:19] ga_nathaniel: ดีค้าบพี่เอส rebirthztvLove
[0:03:20] arseed41: ดีคับ
[0:03:21] ice_0611: Squid1 Squid2 Squid3 Squid4
[0:03:22] 2much_gg: ดีครับพี่เอส <3
[0:03:24] pzdpee: สวัสดีครับ
[0:03:25] dung_naidong: rebirthztvAfk rebirthztvAfk rebirthztvAfk rebirthztvAfk
[0:03:25] Nay_Jak: rebirthztvNice
[0:03:27] inumaki_haha: ดีครับ
[0:03:27] hkkingbaby: ดีคับลุง
[0:03:27] cyraxax: ดีครับบบ
[0:03:29] coccyz07: rebirthztvLove rebirthztvLove
[0:03:30] trinsamosron: rebirthztvJak
[0:03:30] pangpang23456: มาแล้ววววว
[0:03:30] controooo: rebirthztvHuh
[0:03:31] zepro_z999: สปอยทำไม
[0:03:33] xvxivixviiiixxiv: ดีครับลุงสุดหล่อ
[0:03:35] superadam26: สวัสดีครับ
[0:03:35] klahs999: rebirthztvNormal
[0:03:36] finixnover: BlackLivesMatter BlackLivesMatter BlackLivesMatter BlackLivesMatter
[0:03:37] kawaiiqa: Squid1 Squid3 Squid4
[0:03:37] yousobeurifu: rebirthztvRun rebirthztvRun rebirthztvRun
[0:03:38] rexsizz: ดีครัชชฃ
[0:03:39] rawat_yimpairor: ดีครับลุง
[0:03:39] punnutXx: ;) :/ B)
[0:03:40] aitthikon_thongluea: eapexHaha
[0:03:40] pongsakorn0109: สาวาดดีวัยรุ่นน
[0:03:40] tipxm_: rebirthztvPlease rebirthztvPlease rebirthztvPlease
[0:03:43] nickname5437: friend198AKDzaza_HF
[0:03:43] hakipohfs: สวัสดีคั้บบบลุงงง
[0:03:43] diamon_eazy: ดีครับพี่เอสสสส
[0:03:44] qoekedkdk: หวัดดีครับลุง
[0:03:45] hadowemperor: มาแล้ววววว รออยู่เลยครับ
[0:03:46] choppertr_ch: สวัสดีครับพี่เอส
[0:03:46] bbewbox: rebirthztvSunn
[0:03:47] loren_cry: ดีคับบ
[0:03:48] TwinshockEz: ดีค้าบพี่เอสสส jackey9JackeyDja
[0:03:49] barbiexxxxxx: rebirthztvLove rebirthztvLove
[0:03:49] apisit_ja: ดีคับลุง
[0:03:50] boonchux: ดีง้าบบ
[0:03:50] tangg123: เศษตังJAK
[0:03:51] purple_moon_iusupczz: ไม่สปอยกันน๊า
[0:03:53] gof_4567: ดีค้าบลุง
[0:03:54] tommy_ssr_: ดีคเาบสุดหล่อ
[0:03:55] ballgodf: rebirthztvBaby
[0:03:56] Foxy_anv: สวัสดีครับพี่เอส
[0:03:58] sunday_99: ดีครับลุงง
[0:03:59] mamaboat_44: สวัสดีครับ
[0:03:59] art_vvvvvv: ▫◻◾◼
[0:03:59] seekamna: เพลงอะไรครับ
[0:04:01] Viper_Dream: สวัสดีครับลุง
[0:04:01] bio_beta: ดีครับลุง VoHiYo
[0:04:02] misteeni: ห้ามใจให้ไม่เปิดพี่ดูตอนอาบน้ำไม่ได้จริงๆ
[0:04:02] gatk098: MercyWing1 rebirthztvX MercyWing2
[0:04:02] peeranat3: ดีคับ
[0:04:04] Peerapol23: พวกซอมบี้มาเรวกันจังอะ
[0:04:05] ice_0611: Squid1 Squid2 Squid3 Squid2 Squid4
[0:04:06] katay_kingkittisack: ดีครับพี่เอสสสสสสสส
[0:04:06] dewbbro: ดีคับ
[0:04:06] auttpol: สวัสดีครับ
[0:04:07] champ_1991: พี่ตู้มาแล้ว
[0:04:09] shahrul150_: หวัดดีครับลุง
[0:04:09] TwinshockEz: ดีค้าบทุกคนนนน
[0:04:10] zepro_z999: @kanar40 ห้ามสปอยนะจ่ะ
[0:04:11] cechswift: สวัสดีคร้าบบบบบบบ SeemsGood SeemsGood rebirthztvHaha
[0:04:11] Anmaiok_: ครับบอสอ่าส์
[0:04:11] top300000: @pongsakorn0109 สวัสดีครับ
[0:04:11] not6728: สวัสดีครับ
[0:04:12] phalitchork: ดีคับลุง
[0:04:12] tenzaeiei: rebirthztvNarukeu
[0:04:13] film_af: rebirthztvLove rebirthztvLove rebirthztvLove rebirthztvLove
[0:04:13] waniba_maw: ดีค้าบ
[0:04:15] ornvkf: สวัสดีครับลุง
[0:04:15] phiraphat3: ดีครับพี่
[0:04:16] trinsamosron: rebirthztvJak
[0:04:17] pongsakorn0109: เพลงลุงค้าบ
[0:04:17] toey1692: สวัดดีคับลุง
[0:04:18] Chacho_you: ดีงับ
[0:04:18] kriangkai_09: rebirthztvTueng rebirthztvTueng rebirthztvTueng
[0:04:18] MinNaja1: ดีครับลุง
[0:04:20] flukfluk1234: rebirthztvJak_BW
[0:04:20] xvxivixviiiixxiv: rebirthztvNormal
[0:04:20] klahs999: x4valaYone
[0:04:21] Bookza487: เรารักในหลวง
[0:04:23] nattivare: ดีคับบอส
[0:04:23] arseed41: rebirthztvNormal rebirthztvNormal rebirthztvMc
[0:04:24] tewit191: ดีครับลุง
[0:04:24] nutmininab_1234: สวัสดีครับพี่เอส
[0:04:25] kongstudio_th: สวัสดีครับทุกคน
[0:04:25] apisit_ja: MercyWing1 TwitchRPG MercyWing2
[0:04:26] sosamday: ดีครับลุง
[0:04:26] taaaaaaaaaaaa12: rebirthztvThae
[0:04:27] nickname5437: StrawBeary StrawBeary StrawBeary
[0:04:28] mrchaiyont: ดีค้าบลุงงงง
[0:04:29] Paipypy: @purple_moon_iusupczz ดีค้าบพี่ซุบ jackey9Mnheart
[0:04:29] icebear1998_: สวัสดีครับลุงสุดหล่อ
[0:04:30] pikcww: rebirthztvMuay rebirthztvMuay rebirthztvMuay
[0:04:30] jabnarakaoriginalking: ใครสปอยดาบแบนเลยน้ะ
[0:04:31] green4545: ดีครับ
[0:04:31] ox10123: สวัสดีค้าบพี่เอส
[0:04:31] Larenboyd: MercyWing1 Squid3 MercyWing2
[0:04:31] nagaoka_re: ดีคับพี่เอสไม่พักหรอ
[0:04:32] Willet999: !การเมือง
[0:04:32] Nightbot: ขอความกรุณาไม่คุยเรื่องการเมืองนะครับ แยกแยะให้ออกว่าเรามาทำอะไร เรามาเพื่อดูเกมเพื่อความสนุกนะครับ StinkyCheese
[0:04:33] jakno_1: ดีครับ
[0:04:33] ba_furu: สวัสดีครับ
[0:04:33] ktvianna: หวัดดีงับบบ
[0:04:34] cooldownday: @seekamna rebirthz life
[0:04:34] jowice_: rebirthztvJak_BW
[0:04:34] thanakrit116: rebirthztvLove
[0:04:34] leonaidass760: สวัสดีครับ
[0:04:35] gus2y: สวัสดีครับพี่เอส
[0:04:36] je_naja: rebirthztvNeiyn rebirthztvNeiyn rebirthztvNeiyn rebirthztvNeiyn
[0:04:36] samurai_3010: rebirthztvSad rebirthztvSad rebirthztvSad rebirthztvSad rebirthztvSad
[0:04:36] armzxcc: FBBlock FBSpiral FBPass
[0:04:37] decha189: ซอมบี้มากันเเล้วทุกคน
[0:04:37] Nay_Jak: PowerUpL rebirthztvTadaeng PowerUpR
[0:04:37] Mmtr1vs3: rebirthztvTadaeng rebirthztvTadaeng
[0:04:39] aomsinz__stp: rebirthztvHurt
[0:04:43] purple_moon_iusupczz: @paipypy สวัสดีจ้าปาย bungotSTAB
[0:04:44] benzteerawut: rebirthztvNormal rebirthztvNormal
[0:04:44] top300000: @kongstudio007 สวัสดีครับ
[0:04:46] tang_td: rebirthztvHoldem
[0:04:46] kapey1: MercyWing1 HolidayOrnament MercyWing2
[0:04:47] jangelqueen: !sub
[0:04:47] Nightbot: สามารถกดซัพได้ที่ลิ้งนี้เลย http://bit.ly/2nubLjU
[0:04:49] Tierra_xx: rebirthztvLove rebirthztvLove rebirthztvLove rebirthztvLove
[0:04:49] dhgvjbc: ดีครับ
[0:04:50] router_lll: rebirthztvJak rebirthztvJak rebirthztvJak rebirthztvJak
[0:04:50] pangpang23456: rebirthztvLove_HF
[0:04:51] titun2549: ดีค้าบบบลุงง
[0:04:53] klahs999: PunchTrees
[0:04:54] weerapol_kerdwichai: RyuChamp RyuChamp RyuChamp RyuChamp
[0:04:54] xse_n: สวัดดีครับ
[0:04:55] PetTV: @purple_moon_iusupczz ดีครับพี่ซุบ
[0:04:55] mrgew2543: สวัสดีคับพี่เอส
[0:04:55] yuri_1233: ResidentSleeper ResidentSleeper ResidentSleeper
[0:04:55] dung_naidong: สวัสดีครับคุณลุง
[0:04:55] ballmaxmax: ดีคับ
[0:04:56] monster_gamer_55: rebirthztvPlease
[0:04:57] naphon73110: Squid1 Squid3 Squid2 Squid4
[0:04:57] 2542CH: rebirthztvPlease rebirthztvLove rebirthztvJak
[0:04:58] aekkasit549: Squid1 Squid2 Squid3 Squid2
[0:04:59] yes_ped: ดีครับ
[0:05:00] zeetar_u: ดีครับ
[0:05:01] demonic_tud: ดีีี
[0:05:01] peeza12129: สวัสดีคร้าบบบลุง
[0:05:01] not6728: SeemsGood LUL <3
[0:05:02] jokemoo_saikai: SeemsGood SeemsGood SeemsGood
[0:05:03] ohm_vag4my: rebirthztvPlease rebirthztvPlease
[0:05:03] voramate11: rebirthztvPlease
[0:05:07] art_vvvvvv: 🕤🕤🕤🕤🕤
[0:05:08] ARTHUR_X0: ดีครับคนเเก่555
[0:05:08] nattpong_: ดีครับ
[0:05:08] pongsakorn0109: rebirthztvAfk rebirthztvAfk
[0:05:09] ice_0611: FBBlock FBSpiral FBPass FBRun
[0:05:09] purple_moon_iusupczz: @pettv ดีจ้าเพชร bungotPray
[0:05:10] panuwat01_: SeemsGood
[0:05:10] nattivare: วันนี้มาช้านะ
[0:05:11] conankun125: rebirthztvOk
[0:05:12] alongkorn_gun: ดีครับลุง
[0:05:12] uknowmick: !sc
[0:05:13] tiw14331433: ดีงับ
[0:05:14] connxrrg_: ดีครับ
[0:05:15] armzxcc: FBBlock FBSpiral FBPass
[0:05:16] mark69z: ผมฟังเพลงลุงจนร้องได้แล้วนะคับ
[0:05:18] fair_2547: rebirthztvJak rebirthztvJak rebirthztvJak
[0:05:18] somebadyluv: สวัสดีครับพี่เอส rebirthztvTadaeng
[0:05:20] supamit_muenyut: ดีครับพี่เอส
[0:05:20] jangelqueen: !sub
[0:05:20] Nightbot: สามารถกดซัพได้ที่ลิ้งนี้เลย http://bit.ly/2nubLjU
[0:05:22] nu_nety: ดีงับ
[0:05:23] wannathat1122: TwitchUnity TwitchUnity
[0:05:24] ohmzakai007: ดีครับลุง
[0:05:24] sxkiio: PrimeMe
[0:05:24] qoekedkdk: rebirthztvAfkหวัดดีครับบบ
[0:05:24] hio_hi: ดีงับป๊า
[0:05:26] nopparitnopparit: x
[0:05:26] Nightbot: ❌ กำลังมองคุณอยู่ rebirthztvX
[0:05:28] titiarale: d khup
[0:05:28] kihgzztv: SeemsGood
[0:05:28] l300k: rebirthztvRuraa
[0:05:28] klahs999: rebirthztvCritical
[0:05:28] naja404: rebirthztvAhiahi
[0:05:29] parklove2540: @purple_moon_iusupczz สวัสดีครับซุป rebirthztvPlease rebirthztvPlease
[0:05:30] top300000: @purple_moon_iusupczz สวัสดีครับ
[0:05:30] Make_some_pill: !uptime
[0:05:31] Nightbot: Stream uptime 5 minutes, 41 seconds
[0:05:31] illUMiliVE: ดีครับพี่ชายยยย
[0:05:32] jokemoo_saikai: GivePLZ TakeNRG
[0:05:32] ataaye: Squid1 Squid2 Squid3 Squid2 Squid4
[0:05:32] demonic_tud: ดีีีค
[0:05:34] dung_naidong: ทำไรอ่ะ
[0:05:35] beem_k: ดีคับพี่เอส
[0:05:36] kongstudio_th: สวัสดีครับทุกคนที่น่ารักทุกคน
[0:05:36] zeetar_u: minoruHualai minoruHualai ดีครับ
[0:05:36] white31_: ดีครับลุง
[0:05:36] 5588786: rebirthztvRun
[0:05:37] aokk001: !uptime
[0:05:37] Larenboyd: TearGlove
[0:05:37] Nightbot: Stream uptime 5 minutes, 48 seconds
[0:05:38] ARTHUR_X0: aka
[0:05:38] Nightbot: ทิ้งเพื่อน rebirthztvTew
