[0:01:05] pizza1135: มาสาย
[0:01:06] nnxxm12: ลุงมาไงงง
[0:01:06] nemo_ooz: สวยกำลังจะนอนน
[0:01:07] Diw_Trd: อ่าวมาไงคับลูกพี่
[0:01:07] sompohp01: เคร
[0:01:08] icekung__tv: คิดละสิ้
[0:01:08] nxuller: เวลาไม่ครบ 555
[0:01:11] bank_pongsathorn: ผมฝันไปไหมมม 5555
[0:01:11] Richellendo: เอาดีๆ
[0:01:12] fxckin9: เวลาไม่พอ
[0:01:12] khaitomth: มีแต่เรื่องไม่ได้พักเลยยยสินะ
[0:01:13] pokpong_m: มาทำไรอะลุงงงง55555
[0:01:13] thursday195_: ไรอีกเนี่ยลุงงงงง 5555555555555
[0:01:14] ball1784: เดี๋ยวนะ
[0:01:15] Melody_May19: ไม่ได้พักกกกกก
[0:01:15] Chitaro_ch: มีอะไรเเน่
[0:01:16] tontoey__: จุนลุงงงงงงงงงงงง
[0:01:16] snow_maew: ดีฮะลุงงงง
[0:01:17] Bensodomo: ห๊ะนึกว่าจะพักยาวว
[0:01:17] erwin_skyler: ดีครับลุง
[0:01:17] nong_minttt: ดีคับลุงง
[0:01:19] thxn_artery: เฮ้ยตาแก่!!!
[0:01:19] dome_zazaza: เสียงสะท้อนครับ ตาแก่
[0:01:19] ProJect_FK: เอาดี
[0:01:19] jgfnjhc: jackey9JackeyDja jackey9JackeyDja jackey9JackeyDja jackey9JackeyDja jackey9JackeyDja jackey9JackeyDja jackey9JackeyDja
[0:01:20] tigher18: อ้าว
[0:01:20] trackytorun: พักไหมเนี่ยยย
[0:01:20] icexerxer: ชม. ไม่พอ
[0:01:21] somlong: เอ้า ตาแก่นี่
[0:01:23] TKBNAM: ไปไหนมาาาาาา
[0:01:25] NoNuea: เวลาขาด5ชั่วโมง
[0:01:25] justfah93: เชื่อ rebirthztvHa rebirthztvHa
[0:01:25] watcharawit04: เกือบจะนอนแล้วลุงเห็นแจ้งเตือนพอดี
[0:01:25] iii_namaoyy: ห้ะ
[0:01:25] tanakit23453: Ok
[0:01:26] notalonewolff: เอ้ามาแล้วหรอ นึกว่าไม่มาละ
[0:01:27] tam_kung_: ตาแก่
[0:01:27] supxtcha: ห๊ะเอาดีลุง
[0:01:27] plewmuta: ลุงงงง
[0:01:27] arfan2005: ห้ะลุงมา
[0:01:28] magi_haha: rebirthztvHa rebirthztvHa rebirthztvHa
[0:01:28] Tonnam_LT: 5555555
[0:01:29] Chagulf: ฮึบบ
[0:01:29] t_ps16: 55555
[0:01:29] BaNgVeE420: ตาแก่
[0:01:30] 2fairr: จัดเลยลุง
[0:01:31] vitchaa: เอ้า ตกใจ
[0:01:31] purple_moon_iusupczz: อ่าว StinkyGlitch
[0:01:32] dinosoba: แล้วมาไม ไปพักเหอะ
[0:01:32] backham47: เครร
[0:01:32] woraluk_cc: ห้ะ
[0:01:33] chocominttttt: ดีจ้าาา
[0:01:34] phongsakorn6846: แปลกๆ
[0:01:34] bigsuperx55: แปลกๆ
[0:01:34] pound22222222: เดียว
[0:01:35] game21320: สู้ๆค้าบ
[0:01:35] pongsiri4455: มาไงเนี่ยตาแก่่่
[0:01:36] os12atom: ดีค้าบ
[0:01:36] ratchanon1213: ดีน้าบจุนลุง
[0:01:36] KaOverdose146: ไม่เหงาเเล้ว
[0:01:36] ndjdudbbwixmxi: เรื่องล็อกลุงเคียร์ยังคับ
[0:01:37] lilinkubb: มาไงเนี้ยยยย
[0:01:37] TAWHAD: ช.ม.ไม่พอหรอพี่ rebirthztvHa
[0:01:38] namtxn: jackey9JackeyLOL
[0:01:39] sibuya888: มาไหมนิลุง
[0:01:39] SUCHADA2307: รอลุงตลอดเลยนั้บบบบบ
[0:01:39] kan_kanokphon: มันรำกันไม่หยุดทั้งติ๊กตอกทั้งในกลุ่ม55555
[0:01:39] diff_cobratv: แก่มาดึกนะ
[0:01:40] kong_kong121: หะๆๆๆ
[0:01:40] kanabe_08: ทำไมไม่หลับไม่นอน
[0:01:41] sabowinterfill: ห่ะ
[0:01:41] kanitt_ha: พึ่งไปดูเพจลุงมา5555
[0:01:42] bangznoon: @purple_moon_iusupczz ดีครับพี่
[0:01:42] friend_nimo: เเปลกๆนะ
[0:01:42] kjx69: 5555ชั่วโมงไม่พอหรืออะไรลุง
[0:01:43] vivoy2: ลุงงงนอนนน
[0:01:43] naszaza44444444: มาไงอ่ะ
[0:01:44] save_kung007: น้านนน
[0:01:45] 0629917963: NotLikeThis
[0:01:46] phanuwat2006: ห้ะ
[0:01:46] smoke1111444: แปลกๆ
[0:01:46] chaiwatboonram: rebirthztvB
[0:01:46] viewview11: แปลกๆ
[0:01:46] blacklist_name: สวัสดีครับบอสสส
[0:01:46] mint_1505: หะ
[0:01:47] toy070242: มาม่าไรอีกอะ
[0:01:48] Saekookiku: มาไง55+
[0:01:48] purple_moon_iusupczz: เวลายังไม่ครบหรอพี่
[0:01:48] pek5566: มีอะไรกัหรอหอครับเเชท กระซิบที
[0:01:51] Binnakub: เย้ๆเวลาไม่ครบ
[0:01:51] poomtanwa: ดีค้าบลุง
[0:01:51] callme_babyyy: ตัวหลุดเข้ามาดูกันเยอะจัง StinkyGlitch
[0:01:51] mynameistang46: ทำไมไม่พักครับลุงงงง
[0:01:51] dome_zazaza: เกิดเป็นตาแก่นี่ลำบากเนาะ55555
[0:01:51] zaazoo12341: เอาาา
[0:01:51] satan1245: ใครน่ะ
[0:01:52] jone_500_tv: อันนี้มาเล่นเกมหรือมาทำไรครับลุงง
[0:01:53] ohm_pattawut: ดีคับพี่เอส
[0:01:53] s_shinobuz: ...
[0:01:54] klxsq_23pp: แปลกๆ
[0:01:55] Onsupness: นึกว่าจะมาวันศุกร์นู้นนนนน
[0:01:56] nxuller: พี่ซุป แบนด้วย ตัวหลุดมาเยอะ
[0:01:56] mosxxxxxx: มาได้ไง
[0:01:57] thitikarn10: ลุงเมาชัวร์
[0:01:57] theball478: อันนี้ลุงมาชี้แจงหรือมาเล่นให้ดู
[0:01:57] NATTHACHAI9659: ลุงพรุ่งนี้ผมทำงานนะมาตอนนี้
[0:01:58] iii_namaoyy: มีประเด็นอีกเเล้วหรอ
[0:01:59] j4c0bz0: เวลาไม่พอหรือไร
[0:01:59] xsoellsj_66: อันนี้ใคร
[0:02:00] fream_13: ไม่เหงาเเล้ว
[0:02:00] JuniorSoitan: ตอนนี้เรื่องเยอะจริงผมเชื่อ55555
[0:02:00] anniica_anne: ห้ะ
[0:02:00] purple_moon_iusupczz: @bangznoon ดีจ้าน้อง
[0:02:00] wishkomsanfisho: เอาเเล้ว
[0:02:01] art_25504: น่าจะเรื่องลูกชิ้นม้ะ?
[0:02:01] ball1784: เปลี่ยนเวลาสตีมแล้วใช่ไหม 5555
[0:02:02] kantapat_hizz: What happened 🥲
[0:02:02] brian_5600: ห่ะ เที่ยงคืน
[0:02:03] sand115011: มาไง
[0:02:04] pasuzaz: คิดถึงแจ๊คคับ
[0:02:04] kittisako_o: ไหนเดือนหน้าเนี่ย
[0:02:04] SuteemonArt: เอาอีกละหรออออ
[0:02:04] nany_2255: เอ้า ไม่พักผ่อนตาแก่
[0:02:04] navee702340: กำลังเบื่อเลย
[0:02:05] Champasp: มาไง
[0:02:05] 25503333: ไม่พักหรอ
[0:02:06] mongkonui: มาก็ดูครับพี่
[0:02:07] thursday195_: ใครทำรลุงอีกกกก
[0:02:08] oat_oi04: ห้ะ
[0:02:08] purple_moon_iusupczz: @nxuller อ่า
[0:02:10] tonwan_y: อะไรอะ
