[0:01:36] maxxy90411: ดีน้าบบบบบ
[0:01:36] Ntpm_As: @purple_moon_iusupczz ดีค้าบพี่ซุป!!!!!!!
[0:01:36] torrapeee02: สวัสดีครับ Mc DMH
[0:01:37] sanookre: มาเเล้ว
[0:01:37] benzlove129: สวัสดีครับ
[0:01:37] PorscheHuh: ดีครับ
[0:01:37] patraporn_: ดีน้าบบบลุงงง
[0:01:37] ONGARDz: แม็คโฮเอ้ม
[0:01:38] bi_kabb: ดีครับบบบบ
[0:01:38] huijdjsod: ดีคัย
[0:01:38] wao_th: ดีค่าบบบ
[0:01:38] boluy89: ดีครับ
[0:01:39] yeegod8936: ดีคับพี่เอส
[0:01:39] meaningless_12: ดีครับ
[0:01:39] kr1itpxk0rn04: ดีน้าบบบบบ
[0:01:39] sutthirat_47: สวัสดีครับ
[0:01:39] nuttha_not: ดีครับบบบ
[0:01:41] soybadx10: หวัดดีครับบบ
[0:01:41] namertyu: ดีลุง
[0:01:41] thanawan87: ดีค้าบ
[0:01:41] thanakrit116: !suf
[0:01:41] peemai_twr: ดีฮ้ะ
[0:01:41] sitthisak3: ดีค่าบบบบ
[0:01:41] chawithahaha: หวัดดีค้าบ
[0:01:42] poramet0200: คิดถึงลุงคับ
[0:01:42] captain_2007_: ดีเคิ้บบบ
[0:01:42] Phonthiwa: rebirthztvLove rebirthztvLove
[0:01:42] reekids11: เม้นสุดท้าย
[0:01:42] thanawat_99: สวัสดีน้าบจุนลุง
[0:01:42] rx3090xxx: ดีครับแม็ค
[0:01:42] jameszx06: ดีครับ
[0:01:42] rebon25555: นึกว่าไม่มาแล้วนะเนี่ยลุง
[0:01:42] chadetha_thongfaing: ลุงมาแล้ววววว
[0:01:42] imyourjoyful: rebirthztvPlease rebirthztvPlease
[0:01:43] peepee_01: สวัสดีครับ
[0:01:43] hamdamnahkap: สวัดดีน้าบบบ
[0:01:43] peerapongtv: สวัสดีค้าบ
[0:01:43] uraomq: นึกว่าจะคริงะะะะ
[0:01:43] teeza191tee: ดีค้าบบ
[0:01:43] nrpxxp: ;)
[0:01:43] o_shura_o: ดีครับ
[0:01:44] pantawat27: สวัสดีครับ
[0:01:44] Pream12332: ดีคัยลุง rebirthztvLove rebirthztvLove rebirthztvLove
[0:01:44] bank_x_: ดีค้าบบบพี่เอส
[0:01:44] unizfirstt: ลุงงงงง สวัสดีค้าบบบบบ
[0:01:44] beer_711: ดีครับบบบบ
[0:01:44] farmxcq: สวัสดีน้าบบบบ
[0:01:44] nomvip123: หลังคาที่เปลี่ยนไป
[0:01:44] illUMiliVE: ดีครับพี่
[0:01:44] arnon_019: หวัดดีน้าบคุณพ่อลูกสอง
[0:01:44] pon_shinsaki_: สวัสดีครับ
[0:01:44] laxus_pup: ชุดเหมือนไอหนู r50เหลืองเมื่อวานเลยครับ
[0:01:45] fanchescototii: ดีครับลุงง
[0:01:45] xffey: ดีครับ
[0:01:45] ninneqx: ninneqx subscribed with Prime. 
[0:01:45] purple_moon_iusupczz: @fewxdv2 ดีจ้าฟิว
[0:01:45] jameborn009: ดีค้าบบบบ
[0:01:46] iam_candyy: หวัดดีค่ะ
[0:01:46] killuarog34: สวัสดีครับลุง
[0:01:46] aomza2551z: !ultime
[0:01:47] thai566: ดีคับ
[0:01:47] atichat15110: ดีน้าบบบ
[0:01:47] itsadej: ดีครับลุง
[0:01:48] PHANUWAT13579: ดีครับ
[0:01:48] BabyWassupz: คิดถึงจัด ดูแลสุขภาพด้วยนะค้าบ 🖤🔥❤️
[0:01:48] akkharadetaoy: ดีค่าบบ
[0:01:49] catagory1: สวัสดีครับ
[0:01:49] NUTSXDDDD: ดีครับ
[0:01:49] mimihkh: Hi hii~
[0:01:49] LiBRa_12ph: ดีครับแม็คDMH
[0:01:49] THIPPLEX: สวัสดีครับ
[0:01:49] pixisa_xz: ดีค้าบบบ
[0:01:49] cakecake2006: ดีฮะลุงง
[0:01:49] Raykety: ดีค้าบบ
[0:01:49] outsimee: ดีคับ
[0:01:49] hariz2548: ดีครับคุณลุงสุดหล่อ
[0:01:50] mxnqz__9999: ดีงับบบ
[0:01:50] fishojok: คิดถึงครับผมลุงเอส
[0:01:50] nuengwawow: d
[0:01:50] famesmit_kub: d kub
